"Probe"	"Gene_body_meth"	"Promoter_meth"
"0610005C13Rik"	1.7589848	11.697676
"0610007C21Rik"	14.529601	24.150429
"0610007L01Rik"	66.26465	66.1392
"0610007P08Rik"	76.92305	3.3631067
"0610007P14Rik"	84.26937	3.699747
"0610007P22Rik"	4.4201355	0.84825647
"0610008F07Rik"	15.867483	3.3086705
"0610009B14Rik"	3.0112355	0.44286898
"0610009B22Rik"	36.390057	1.2102002
"0610009D07Rik"	62.569893	1.6601156
"0610009E02Rik"	42.471153	0.501355
"0610009L18Rik"	1.5175939	14.008686
"0610009O20Rik"	83.361755	14.41436
"0610010F05Rik"	74.88002	14.312484
"0610010K14Rik"	37.96119	0.6414591
"0610010O12Rik"	21.88497	6.1371593
"0610011F06Rik"	74.18904	0.60737103
"0610011L14Rik"	73.4284	0.35719514
"0610012D04Rik"	98.29992	99.79211
"0610012H03Rik"	62.803017	95.40654
"0610025J13Rik"	4.4041505	1.4702381
"0610030E20Rik"	38.548904	0.64606744
"0610031J06Rik"	91.00486	58.602993
"0610037L13Rik"	64.08489	15.022881
"0610037P05Rik"	78.76075	0.39832956
"0610038L08Rik"	97.26166	96.12425
"0610038P03Rik"	1.7060213	1.084915
"0610039K10Rik"	0.44444445	11.633814
"0610040B09Rik"	1.0221573	1.4100869
"0610040B10Rik"	5.7461963	33.02259
"0610040F04Rik"	64.35137	0.63706976
"0610040J01Rik"	25.168743	0.75129336
"0610043K17Rik"	12.230343	40.3851
"0910001L09Rik"	58.445145	1.6403062
"1010001B22Rik"	0.8333333	3.0296094
"1010001N08Rik"	0.68772143	0.8886055
"1100001G20Rik"	6.807564	1.5256734
"1110001A16Rik"	48.98472	0.79680735
"1110001J03Rik"	18.378273	0.83897597
"1110002B05Rik"	52.154125	0.8655255
"1110002E22Rik"	2.2217116	0.48185948
"1110002J07Rik"	2.7648306	1.1352987
"1110002L01Rik"	86.60582	1.089794
"1110002N22Rik"	62.060276	1.4958615
"1110003E01Rik"	63.809124	1.5159459
"1110003O08Rik"	97.64767	97.59522
"1110004E09Rik"	66.797325	3.0749645
"1110004F10Rik"	68.90767	1.8560605
"1110005A03Rik"	16.537907	5.098049
"1110006G14Rik"	1.1498467	1.337892
"1110007C09Rik"	8.13434	0.8810399
"1110008E08Rik"	39.198685	76.14606
"1110008F13Rik"	61.30341	0.9729064
"1110008J03Rik"	59.518295	1.5644704
"1110008L16Rik"	67.280045	12.0802765
"1110008P14Rik"	45.625645	1.1000249
"1110012D08Rik"	94.14274	7.247251
"1110012J17Rik"	26.980244	1.1611522
"1110012L19Rik"	41.218765	3.5317461
"1110014N23Rik"	75.90814	57.583965
"1110017D15Rik"	3.4893394	71.3579
"1110017F19Rik"	97.42287	96.975204
"1110018G07Rik"	89.8587	19.89125
"1110018J18Rik"	35.22544	0.41025642
"1110018N20Rik"	0.8411589	1.0429195
"1110019D14Rik"	60.444187	33.95723
"1110020A21Rik"	0.7248209	0.40750304
"1110020G09Rik"	68.07016	0.24853802
"1110021J02Rik"	52.730473	4.3734484
"1110021L09Rik"	92.6693	93.77409
"1110028C15Rik"	76.755516	0.1635992
"1110028F11Rik"	2.2284646	2.5038652
"1110031I02Rik"	77.036064	1.1269071
"1110032A03Rik"	56.133907	0.6799809
"1110032A04Rik"	80.4762	21.2792
"1110032F04Rik"	0.8023104	0.6853093
"1110034A24Rik"	23.186651	72.46084
"1110034B05Rik"	55.157867	13.275567
"1110034G24Rik"	55.05628	0.47138047
"1110035M17Rik"	4.695302	3.0998347
"1110036E04Rik"	1.4550596	0.71233416
"1110037F02Rik"	80.48237	1.2024087
"1110038B12Rik"	22.986637	0
"1110038D17Rik"	49.81622	36.951427
"1110038F14Rik"	7.265349	1.0582011
"1110046J04Rik"	97.56485	97.60989
"1110049F12Rik"	66.6867	0.41886863
"1110050K14Rik"	1.9918147	1.044465
"1110051M20Rik"	47.055855	0.34013608
"1110054M08Rik"	15.973595	0.97864705
"1110054O05Rik"	47.798325	74.902275
"1110057K04Rik"	88.67502	3.645599
"1110058L19Rik"	63.31114	1.7465129
"1110059E24Rik"	77.150375	0.60925233
"1110059G10Rik"	24.654222	8.957009
"1110059M19Rik"	84.74252	91.66667
"1110065P20Rik"	1.1639099	2.917014
"1110067D22Rik"	47.41578	1
"1190002H23Rik"	1.5604004	1.4658359
"1190002N15Rik"	42.38493	4.0459204
"1190003J15Rik"	1.8103615	3.0263157
"1190005F20Rik"	76.03524	5.2142386
"1190005I06Rik"	64.25327	7.6653967
"1190007F08Rik"	62.245033	12.843916
"1190007I07Rik"	15.659136	0.8016878
"1200007C13Rik"	2.0964143	1.2614409
"1200009I06Rik"	1.5602936	1.3065175
"1200011I18Rik"	79.971245	1.2364215
"1200011M11Rik"	17.407932	3.5892856
"1200014J11Rik"	71.25318	6.9632206
"1200016B10Rik"	82.24136	1.8720155
"1300001I01Rik"	76.25084	0.51600456
"1300002E11Rik"	50.53958	1.0003037
"1300002K09Rik"	79.44063	55.632706
"1300010F03Rik"	87.70171	0.17361112
"1300014I06Rik"	27.757458	0.63473344
"1300015D01Rik"	3.134342	1.7355099
"1300017J02Rik"	22.477652	8.44271
"1300018I17Rik"	70.72416	8.890283
"1300018J18Rik"	60.526203	8.91268
"1500001M20Rik"	89.70868	1.1494819
"1500002F19Rik"	12.061784	1.7129505
"1500002O10Rik"	4.111808	1.0136595
"1500002O20Rik"	86.14907	2.2612145
"1500003O03Rik"	84.63982	0.5085807
"1500009C09Rik"	41.17303	80.98727
"1500009L16Rik"	4.9444613	1.5768535
"1500010J02Rik"	85.45483	2.4465246
"1500011H22Rik"	53.262917	13.208535
"1500011K16Rik"	2.4520254	4.2064934
"1500012F01Rik"	1.4610392	0.6412118
"1500012K07Rik"	3.9241843	0.64257866
"1500015O10Rik"	7.8160224	0.74145716
"1500016L03Rik"	1.451379	0.8399471
"1500017E21Rik"	14.223332	2.022769
"1500026H17Rik"	65.805534	0.46988413
"1500031L02Rik"	67.05568	5.977341
"1500032L24Rik"	14.809007	0.56105614
"1500035N22Rik"	41.81152	51.00453
"1520401A03Rik"	93.28525	88.77974
"1520402A15Rik"	27.218164	96.779106
"1600002D24Rik"	87.809975	95.58561
"1600002H07Rik"	53.00802	8.466727
"1600002K03Rik"	31.803368	72.56683
"1600010F14Rik"	3.5623577	0
"1600012F09Rik"	30.089754	0.15628152
"1600012H06Rik"	77.664696	17.52938
"1600012P17Rik"	31.316885	63.416153
"1600014C10Rik"	3.8004632	0.7936508
"1600014K23Rik"	96.09725	96.419754
"1600015I10Rik"	98.1825	97.903656
"1600016N20Rik"	98.28555	34.770832
"1600020E01Rik"	56.053925	0.7841394
"1600021P15Rik"	28.358528	0.6369427
"1600025M17Rik"	57.746513	65.5218
"1600027N09Rik"	39.740097	0.23310024
"1600029D21Rik"	1.5173463	1.5185186
"1600029I14Rik"	12.655923	2.3177974
"1600029O15Rik"	1.8105625	1.6089175
"1700001C02Rik"	2.5359595	2.566845
"1700001C19Rik"	4.608136	2.878951
"1700001F09Rik"	52.95613	-1
"1700001G01Rik"	44.003036	82.51659
"1700001G11Rik"	1.4442753	8.919734
"1700001G17Rik"	0.36714974	20.264736
"1700001J04Rik"	4.4037943	53.63933
"1700001J11Rik"	3.1450357	1.9937277
"1700001K19Rik"	43.389664	5.053311
"1700001L05Rik"	43.24669	0.47275642
"1700001L19Rik"	18.073536	17.175625
"1700001O22Rik"	1.036559	5.1772256
"1700001P01Rik"	61.358223	71.24304
"1700003D09Rik"	1.7207253	15.1840925
"1700003E16Rik"	1.5385048	1.0692449
"1700003F12Rik"	98.09685	98.27398
"1700003F17Rik"	1.9305531	0.89569163
"1700003G13Rik"	1.6017023	0.90090096
"1700003G18Rik"	4.9832196	6.4953704
"1700003H04Rik"	16.918858	3.3333335
"1700003M02Rik"	90.30918	14.546461
"1700003M07Rik"	8.997086	18.640165
"1700006A11Rik"	7.075127	13.690477
"1700006D18Rik"	62.585064	96.63248
"1700006E09Rik"	2.2170575	0.23809525
"1700006J14Rik"	80.33623	92.42937
"1700006P19Rik"	86.771095	98.24561
"1700007B14Rik"	36.889584	2.3935003
"1700007G11Rik"	7.746124	0.28218699
"1700007I08Rik"	96.74823	99.18154
"1700007J10Rik"	65.78901	98.28225
"1700007K09Rik"	92.5746	94.408066
"1700007K13Rik"	2.976443	1.8744028
"1700007L15Rik"	2.450593	12.545998
"1700007M16Rik"	10.287815	13.071896
"1700007P06Rik"	53.16333	96.23056
"1700008A04Rik"	3.6853137	3.043838
"1700008F21Rik"	40.98198	0.90909094
"1700008I05Rik"	19.211468	-1
"1700008O03Rik"	2.1622126	0.8553275
"1700008P02Rik"	8.69883	0
"1700008P20Rik"	5.2112393	14.267069
"1700009N14Rik"	5.6007123	1.1204482
"1700009P17Rik"	39.56371	1.0069444
"1700010B08Rik"	6.639145	10.909092
"1700010D01Rik"	18.681026	6.6964283
"1700010H22Rik"	0.2857143	4.166667
"1700010I14Rik"	81.923996	1.7295599
"1700010K10Rik"	6.2179966	1.3841043
"1700010K24Rik"	18.90716	1.3428599
"1700010L04Rik"	88.87916	-1
"1700010M22Rik"	95.53571	90.93806
"1700011A15Rik"	55.827236	4.6730886
"1700011E24Rik"	6.856619	16.953667
"1700011F03Rik"	4.3922663	2.607143
"1700011F14Rik"	84.33341	0.9263173
"1700011H14Rik"	53.95129	5.26801
"1700011I03Rik"	4.6938744	37.16645
"1700011J10Rik"	11.038567	16.54895
"1700011L22Rik"	7.9448147	1.0317461
"1700011M02Rik"	12.893219	30.289091
"1700012A03Rik"	98.59895	93.42438
"1700012A16Rik"	32.72106	0.697832
"1700012B07Rik"	4.8596077	2.34127
"1700012B09Rik"	3.0935197	2.4356468
"1700012B15Rik"	95.732216	11.865726
"1700012C08Rik"	1.6666667	5.2106957
"1700012C14Rik"	1.4376742	1.1131313
"1700012L04Rik"	54.884926	83.01154
"1700012P22Rik"	91.04536	-1
"1700013D24Rik"	5.3591824	0.95238096
"1700013F07Rik"	1.5712408	0.7193516
"1700013G23Rik"	2.0555556	23.87731
"1700013G24Rik"	0.5311853	2.7314816
"1700013H16Rik"	14.72501	13.949252
"1700013N06Rik"	6.6468835	9.568966
"1700013N18Rik"	94.17023	96.992004
"1700014D04Rik"	65.02483	88.17867
"1700014N06Rik"	91.73494	89.864136
"1700015E13Rik"	43.831715	66.88038
"1700015F17Rik"	4.20201	1.5
"1700015O11Rik"	90.92064	10.189487
"1700016C15Rik"	72.4403	46.79149
"1700016D06Rik"	2.5849726	1.3813304
"1700016G14Rik"	97.52944	96.24327
"1700016H13Rik"	42.49145	1.5186404
"1700016K19Rik"	1.6486839	1.3394455
"1700016M24Rik"	4.6839995	3.68254
"1700016P03Rik"	11.778556	2.2291298
"1700017B05Rik"	96.91241	95.49597
"1700017D01Rik"	15.103528	7.7043576
"1700017G19Rik"	2.1938877	2.0679011
"1700017J07Rik"	97.14286	97.26467
"1700017N19Rik"	3.2717097	4.6258507
"1700018A04Rik"	2.2449737	1.4309764
"1700018A14Rik"	1.0698199	1.6897194
"1700018B08Rik"	27.588745	1.017992
"1700018B24Rik"	9.552238	11.478603
"1700018C11Rik"	14.296499	12.39418
"1700018F24Rik"	4.8287983	0
"1700018L24Rik"	91.82593	94.14059
"1700019A02Rik"	94.40533	97.31399
"1700019B03Rik"	42.670475	32.055557
"1700019B21Rik"	15.105669	9.492522
"1700019D03Rik"	85.494446	97.36328
"1700019E08Rik"	4.174402	9.779387
"1700019E19Rik"	85.22329	1.8148628
"1700019G06Rik"	3.271605	2.299383
"1700019G17Rik"	60.226917	22.981918
"1700019G24Rik"	64.59799	56.98723
"1700019L03Rik"	73.44504	51.82185
"1700019M22Rik"	6.374644	5.952381
"1700019N12Rik"	3.2561054	4.072843
"1700019N19Rik"	63.48851	41.44899
"1700020A23Rik"	5.082522	28.103252
"1700020C07Rik"	6.9704833	43.244095
"1700020I14Rik"	55.45855	12.125652
"1700020L24Rik"	2.2502148	3.9351854
"1700020N01Rik"	4.50175	2.059028
"1700020O03Rik"	87.84702	8.832715
"1700021A07Rik"	87.07218	46.7992
"1700021C14Rik"	37.734474	3.6549747
"1700021F05Rik"	79.03734	0.6967271
"1700021F07Rik"	57.707355	3.1132975
"1700021J08Rik"	97.68122	98.82042
"1700021K19Rik"	78.641815	5.014022
"1700021L23Rik"	2.5403044	1.5746754
"1700021N21Rik"	5.5986395	1.622807
"1700021O21Rik"	4.7487745	8.454861
"1700022I11Rik"	89.920105	36.93773
"1700022K14Rik"	11.533987	0.4902597
"1700022N22Rik"	25.95238	2.2326202
"1700022P22Rik"	95.1666	24.823082
"1700023A16Rik"	74.82441	1.4379085
"1700023C21Rik"	1.6342791	1.8238904
"1700023E05Rik"	43.85057	0.58179194
"1700023F06Rik"	1.5414397	1.7214285
"1700023H06Rik"	0.34879336	1.9848518
"1700023I07Rik"	15.313031	11.730571
"1700023L04Rik"	59.551388	82.13719
"1700024B05Rik"	90.72061	97.77778
"1700024G13Rik"	19.589607	0.8583522
"1700024N20Rik"	0.5539359	24.396067
"1700024P03Rik"	95.13191	44.385952
"1700024P04Rik"	6.293651	2.777778
"1700024P16Rik"	82.84467	0.7684949
"1700025C18Rik"	49.545246	82.697174
"1700025D23Rik"	1.916132	1.7195768
"1700025E21Rik"	5.39559	3.4979424
"1700025F22Rik"	25.99852	0.95865095
"1700025G04Rik"	48.399994	2.2673836
"1700025K23Rik"	55.03649	22.715372
"1700025N21Rik"	93.74891	92.87067
"1700025O08Rik"	1.7658628	-1
"1700026D08Rik"	4.187241	2.7931097
"1700026D11Rik"	2.0210996	3.1060607
"1700026J04Rik"	88.029076	1.388889
"1700026J12Rik"	16.538025	5.1849976
"1700026J14Rik"	0.8549784	2.6761043
"1700026L06Rik"	84.58549	73.56906
"1700027A07Rik"	2.3486683	0.5254594
"1700027A23Rik"	8.369493	25.25482
"1700027D21Rik"	2.333832	4.865072
"1700027L20Rik"	16.091286	1.272757
"1700028E10Rik"	61.90169	1.6327276
"1700028I16Rik"	16.869234	1.1882716
"1700028J19Rik"	81.998604	93.958084
"1700028K03Rik"	50.824387	99.078415
"1700028N14Rik"	1.2220219	1.6363598
"1700028P14Rik"	35.853413	0.43094164
"1700028P15Rik"	38.0085	4.10305
"1700029F09Rik"	47.091686	1.1422552
"1700029F12Rik"	74.19789	10.343138
"1700029G01Rik"	32.240948	57.60891
"1700029H14Rik"	5.996457	1.495957
"1700029I15Rik"	96.12019	98.037926
"1700029J07Rik"	75.57616	7.570948
"1700029J11Rik"	58.268906	84.54653
"1700029M20Rik"	2.021153	5.9116907
"1700029P11Rik"	2.761194	3.0732641
"1700030A11Rik"	10.896309	3.3568492
"1700030C10Rik"	14.349569	5.315673
"1700030C12Rik"	0.73322517	2.4845045
"1700030C14Rik"	2.6084182	2.0833335
"1700030F18Rik"	53.41683	12.126265
"1700030G06Rik"	55.043148	0.54204667
"1700030J22Rik"	75.19521	1.2328253
"1700030K09Rik"	73.35478	0.83250993
"1700031A10Rik"	9.983735	0
"1700031F05Rik"	4.068397	3.671383
"1700031F10Rik"	1.3082695	0.4
"1700034E13Rik"	25.32193	23.146427
"1700034F02Rik"	42.124924	5.9253654
"1700034H14Rik"	57.837788	0.45692432
"1700034H15Rik"	47.46085	12.059319
"1700034I23Rik"	94	94.375
"1700034J04Rik"	0.7352941	0.49019608
"1700034J05Rik"	97.751915	-1
"1700034O15Rik"	1.388889	6.305917
"1700034P13Rik"	14.393863	4.609352
"1700036A12Rik"	2.2745047	1.7896515
"1700037C06Rik"	0	0.5860096
"1700037C18Rik"	83.46643	2.3028884
"1700037F24Rik"	1.1582245	3.6855805
"1700037H04Rik"	17.46275	1.6568291
"1700039E15Rik"	97.71295	98.64352
"1700039E22Rik"	71.497086	2.79309
"1700039M10Rik"	1.234568	26.805372
"1700040D17Rik"	29.072823	2.8435376
"1700040I03Rik"	14.374939	4.5008683
"1700040L02Rik"	3.8264525	1.0027473
"1700040N02Rik"	79.29453	24.963228
"1700041G16Rik"	0.8552632	1.3161893
"1700041M05Rik"	41.803513	43.98567
"1700042B14Rik"	97.69608	100
"1700042G07Rik"	0.8088235	1.1881919
"1700042G15Rik"	2.2855766	4.8204737
"1700042O10Rik"	1.7515347	3.549713
"1700045H11Rik"	2.1778018	0.58629215
"1700045I19Rik"	1.0820769	1.7676768
"1700046C09Rik"	21.645008	2.5802672
"1700047A11Rik"	82.74791	98.90873
"1700047F07Rik"	25.052961	97.91504
"1700047G07Rik"	2.1043773	1.8518518
"1700047K16Rik"	1.7124822	12.869605
"1700048O20Rik"	64.48182	0.8864469
"1700049E15Rik"	15.327996	2.607185
"1700049G17Rik"	21.39973	0.8333334
"1700049J03Rik"	2.6457272	4.7616067
"1700051A21Rik"	0.76272	1.9444954
"1700052N19Rik"	65.39981	13.618396
"1700054M17Rik"	7.2852025	51.528576
"1700054N08Rik"	34.43555	1.7127054
"1700054O13Rik"	25.391739	30.817005
"1700054O19Rik"	4.81982	4.2283273
"1700055D18Rik"	2.0641649	0.43222296
"1700055N04Rik"	1.945777	0.29761904
"1700056E22Rik"	0.24630544	0.678929
"1700056N10Rik"	79.99769	95.254005
"1700057G04Rik"	5.769299	15.151863
"1700057H15Rik"	2.8090448	1.8376069
"1700057H21Rik"	79.92547	97.979805
"1700057K13Rik"	38.36514	90.97999
"1700058G18Rik"	1.9374406	3.244595
"1700058P15Rik"	97.61917	98.4726
"1700060C16Rik"	10.634986	62.420635
"1700060C20Rik"	1.6163424	4.001881
"1700060J05Rik"	98.710976	98.139626
"1700061E18Rik"	97.84422	94.56486
"1700061F12Rik"	64.88138	5.777778
"1700061G19Rik"	18.892748	2.8615947
"1700061H18Rik"	90.20266	98.24562
"1700061I17Rik"	93.897804	48.167576
"1700061J05Rik"	15.721082	3.4694347
"1700061J23Rik"	11.496209	5.8333335
"1700062I23Rik"	85.92407	98.91807
"1700063H04Rik"	71.63916	84.6857
"1700064E03Rik"	96.89186	96.112465
"1700064H15Rik"	20.461723	0.6379947
"1700065I17Rik"	8.712171	84.59809
"1700066B19Rik"	6.798353	4.0017056
"1700066J03Rik"	38.99422	48.420464
"1700066J24Rik"	74.19753	34.02983
"1700066M21Rik"	34.86055	1.4990422
"1700066O22Rik"	9.266923	23.421385
"1700067G03Rik"	98.63985	96.60185
"1700067K01Rik"	47.999317	11.742733
"1700067P10Rik"	1.9152046	2.3280425
"1700069B07Rik"	0.64641124	0.5225415
"1700069L16Rik"	61.99998	21.709707
"1700071G01Rik"	100	97.93177
"1700071M16Rik"	4.067223	3.3672128
"1700072E05Rik"	11.461413	-1
"1700073E17Rik"	2.997316	2.1612782
"1700074P13Rik"	9.22685	5.8556027
"1700080E11Rik"	1.6646413	3.4258442
"1700080G11Rik"	37.73168	13.538878
"1700080N15Rik"	72.57996	55.64334
"1700080O16Rik"	7.7291574	2.0841415
"1700081H22Rik"	26.072344	1.5432099
"1700081L11Rik"	70.257324	1.0741843
"1700082M22Rik"	7.7991037	12.75805
"1700084C01Rik"	2.4947221	3.3323162
"1700084C06Rik"	84.921364	12.33956
"1700084J12Rik"	24.067879	6.0119777
"1700084M14Rik"	7.9910707	15.833334
"1700085B03Rik"	91.385704	84.1791
"1700086D15Rik"	96.84691	88.776924
"1700086L19Rik"	3.795856	3.3467886
"1700086O06Rik"	67.26316	47.230885
"1700086P04Rik"	22.02998	1.9050437
"1700087M22Rik"	97.4714	98.11698
"1700088E04Rik"	28.48748	16.610765
"1700090G07Rik"	3.9934843	4.6620183
"1700091E21Rik"	4.035153	2.8465843
"1700092C02Rik"	26.527487	31.482212
"1700092C10Rik"	2.0395353	1.3462002
"1700092C17Rik"	0.4201389	2.4191089
"1700092E19Rik"	12.539449	2.2370408
"1700092K14Rik"	1.5555556	1.2522047
"1700092M07Rik"	30.05367	87.78696
"1700093J21Rik"	1.4814	2.0994737
"1700093K21Rik"	5.368223	-1
"1700094C10Rik"	96.856834	96.93274
"1700094D03Rik"	85.936	98.14694
"1700095A21Rik"	27.267014	-1
"1700095B22Rik"	1.7687951	1.6879575
"1700095J03Rik"	1.5652404	0.41666666
