Probe	Chromosome	Start	End	Strand	Expression
Xkr4	1	3195982	3661579	-	-5.037614
Gm1992	1	3456668	3503634	+	-2.16719
Rp1	1	4334224	4350473	-	-6.964203
Sox17	1	4481009	4486494	-	-2.6723697
Mrpl15	1	4763287	4775820	-	3.3477063
Lypla1	1	4797869	4876851	+	1.8333502
Tcea1	1	4847775	4887987	+	0.17733116
Gm6104	1	4869283	4870750	-	-2.2471108
Rgs20	1	4899657	5060366	-	-6.2509136
Gm16041	1	4960938	4966901	+	-6.06443
Atp6v1h	1	5073254	5152630	+	6.4784703
Oprk1	1	5578574	5596212	+	-3.467466
Npbwr1	1	5903788	5907479	-	-3.3146272
Rb1cc1	1	6196278	6266729	+	1.5025134
4732440D04Rik	1	6203374	6204671	-	0.06795439
4732440D04Rik	1	6204693	6205373	-	1.7090113
Fam150a	1	6349537	6384812	+	-3.7190752
St18	1	6477312	6851021	+	-5.7142944
Pcmtd1	1	7079001	7163707	+	0.121249564
Gm16899	1	7339487	7387882	-	-1.4624261
Sntg1	1	8351556	9289959	-	-4.3978148
Rrs1	1	9535489	9537535	+	2.6447887
Adhfe1	1	9538029	9568051	+	-5.9009786
2610203C22Rik	1	9550913	9621256	-	-2.7259476
3110035E14Rik	1	9591280	9617224	+	-4.718288
Mybl1	1	9657496	9690290	-	2.2520351
Vcpip1	1	9708703	9738463	-	3.1078885
1700034P13Rik	1	9737729	9782003	+	2.4555416
Sgk3	1	9788211	9892637	+	-0.61051846
6030422M02Rik	1	9898719	9932166	+	0.4568734
Gm10567	1	9950252	9952890	-	2.4735649
Lrrc67	1	9958705	9999217	-	-4.774106
Gm15818	1	9972468	9982447	+	-3.558958
Cops5	1	10014683	10028208	-	4.5918546
Cspp1	1	10028299	10126849	+	2.945508
Arfgef1	1	10127652	10222751	-	4.7747116
Cpa6	1	10314801	10710026	-	-6.941187
Prex2	1	10983546	11293763	+	1.0457933
A830018L16Rik	1	11404186	11965982	+	-7.2064333
Gm17644	1	12657644	12663171	+	-5.8452625
Sulf1	1	12708626	12850452	+	1.2805182
Slco5a1	1	12856630	12981258	-	-2.860639
Prdm14	1	13103538	13117244	-	-5.5255866
Ncoa2	1	13129186	13364164	-	3.6452692
Tram1	1	13554783	13579945	-	5.251593
Lactb2	1	13614926	13650627	-	-1.7175789
Xkr9	1	13658852	13691804	+	-5.1127977
Eya1	1	14159035	14300281	-	-2.558518
Msc	1	14743427	14746047	-	-4.94708
Gm9947	1	14745535	14748454	+	-5.7131586
Trpa1	1	14862729	14908943	-	-2.9371312
Gm10566	1	15258880	15259878	-	-4.0137434
Kcnb2	1	15302533	15701710	+	-2.1453273
Kcnb2	1	15702384	15706448	+	-4.4534802
Terf1	1	15795739	15833551	+	3.2694194
Gm106	1	15843943	15882803	-	-5.473569
4930444P10Rik	1	16056060	16083406	-	-1.0599308
Rpl7	1	16091376	16094743	-	5.579102
Rdh10	1	16095855	16123815	+	3.326973
Stau2	1	16218755	16510193	-	3.844356
Gm7568	1	16243673	16258002	+	-4.1715117
Ube2w	1	16559863	16609570	-	2.8407829
Tceb1	1	16632847	16646946	-	3.006948
Gm16720	1	16647633	16652359	+	-5.4944177
Tmem70	1	16655272	16668356	+	4.181059
Ly96	1	16678537	16699686	+	-1.7004546
Jph1	1	16987545	17087879	-	2.2012935
Gdap1	1	17135443	17154352	+	-1.7647048
Pi15	1	17591982	17621019	+	-6.958379
Gm16070	1	17666108	17717727	-	-7.2281017
Crispld1	1	17717126	17756425	+	-5.189913
Crisp4	1	18105272	18135983	-	-5.619786
Defb18	1	18226554	18227524	-	-2.2126331
Defb41	1	18241061	18255219	-	-3.0686848
Gm15386	1	18250605	18255161	-	-1.8307625
Gm15825	1	19053380	19094921	-	-4.045327
Tcfap2d	1	19093103	19156427	+	-5.1336207
Tcfap2b	1	19198995	19228815	+	-6.8432317
Pkhd1	1	20047860	20608145	-	0.08787182
4930486I03Rik	1	20371174	20382381	+	-2.1154919
Il17a	1	20720986	20724577	+	-4.3949313
Il17f	1	20767232	20774351	-	-2.24539
Mcm3	1	20793055	20810359	-	6.0902476
6720483E21Rik	1	20878731	20880554	-	-2.593723
Paqr8	1	20880691	20929632	+	-1.3997394
Efhc1	1	20941707	20980919	+	3.5821266
Tram2	1	20986377	21069310	-	1.8207588
Tmem14a	1	21208656	21220248	+	-0.98978305
Gsta3	1	21230670	21255442	+	-2.9073834
Gm4956	1	21275327	21288393	-	-4.300885
Khdc1a	1	21339722	21342281	+	-5.005779
Khdc1c	1	21358412	21360926	+	-5.1277018
Khdc1b	1	21373637	21376465	+	-3.5982249
Kcnq5	1	21388484	21952023	-	-3.9630404
Gm16705	1	21949923	21952611	+	-5.082137
Rims1	1	22276332	22911673	-	1.1021233
4933415F23Rik	1	23107312	23109092	-	-0.52594656
Gm6420	1	23262826	23263245	-	-2.9156516
Ogfrl1	1	23373263	23390014	-	1.903371
B3gat2	1	23768592	23855997	+	3.7916777
Smap1	1	23851685	23929156	-	5.50167
1110058L19Rik	1	24002778	24012495	-	4.3186593
Fam135a	1	24017597	24107180	-	4.3034196
Col9a1	1	24184449	24259577	+	-3.5645397
Col19a1	1	24268729	24594311	-	-3.7990627
Gm10222	1	24619243	24619539	-	-2.415725
